,loss,accuracy,val_loss,val_accuracy
0,1.8114532232284546,0.3379605710506439,1.27460777759552,0.5259893536567688
1,1.0986086130142212,0.6195082068443298,1.2566187381744385,0.55375075340271
2,0.6754767894744873,0.7650446891784668,0.9768717288970947,0.6547548770904541
3,0.3652905225753784,0.8889462947845459,0.597891628742218,0.8157117366790771
4,0.15094345808029175,0.9592409133911133,0.5388032793998718,0.841996431350708
5,0.1112053170800209,0.9719412326812744,0.49341779947280884,0.8617838025093079
6,0.15026234090328217,0.9578379988670349,0.5785192847251892,0.8263437747955322
7,0.058701757341623306,0.9858967661857605,0.4979906380176544,0.8700531721115112
8,0.025660740211606026,0.9949789643287659,0.5078855156898499,0.8774365186691284
9,0.018343618139624596,0.9953481554985046,0.5101879239082336,0.875664472579956
10,0.028386546298861504,0.9936498403549194,0.5472602248191833,0.8721204996109009
11,0.0193767249584198,0.9952743053436279,0.5073366761207581,0.8845245242118835
12,0.03645471855998039,0.990770161151886,0.5318557024002075,0.8747785091400146
